			Grading Table - Team team5

| Section                  | Grade               | Note                                                                                                                                                                                                                                                             |
|--------------------------|---------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Sprint Planning          | 8.0/8               | Good job!                                                                                                                                                                                                                                                        |
| Scrums                   | 24.0/24             | Scrum 1:Introduce yourself in the beginning to help the grader identify the speaker.                                                                                                                                                                             |
|                          |                     | Scrum 2:The purpose of conducting scrums is to discuss the project's progress with the team members. It will help you plan and resolve project issues better. Please focus on discussing these topics during scrums rather than typing your answers in the chat. |
|                          |                     | Scrum 3:                                                                                                                                                                                                                                                         |
|                          |                     | Scrum 4:Scrum meeting 4 attendance.png need not be there                                                                                                                                                                                                         |
| Retrospective            | 7.0/8               | The discussion about process improvement did not directly address why these problems occured, so it's not clear if "ensuring" and "focus" will address the root cause. (-1)                                                                                      |
| TDD                      | 0.0/12              |                                                                                                                                                                                                                                                                  |
| GitFlow                  | 9.5/12              |                                                                                                                                                                                                                                                                  |
| Continuous Integration   | 11.0/12             |                                                                                                                                                                                                                                                                  |
| Refactor                 | 12.0/12             |                                                                                                                                                                                                                                                                  |
| Coverage                 | 11.2/12             |                                                                                                                                                                                                                                                                  |
| ------------------------ | ------------------- |                                                                                                                                                                                                                                                                  |
| Total                    | 82.7                |                                                                                                                                                                                                                                                                  |
| ------------------------ | ------------------- |                                                                                                                                                                                                                                                                  |
| Implementation Score     | 32/400              |                                                                                                                                                                                                                                                                  |
| Sustainable Pace Penalty | 0                   |                                                                                                                                                                                                                                                                  |
|                          |                     |                                                                                                                                                                                                                                                                  |
